D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ESPERA EN CUANTO A QUE ME DEJARON 10 MINUTOS MIENTRAS ME COMUNICABAN CON EL ASESOR DE RESTO BIEN EN CUANTO A QUE  YO LLAME EN LA NOCHE Y AL OTRO DÍA VINIERON A ARREGLARLO.,INCIDENTES NEGATIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,Usuario en calidad de propietario solicita separaci?n de cuentas en el contrato 9669217.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,HABÍA PERSONA CON DISCAPACIDAD QUE LES TOCABA ESPERAR BASTANTE Y AL EXPRESARSE LES ATENDIERON Y LES DIERON SU ESPACIO EN LA OFICINA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"Cliente en calidad de suscriptora del servicio solicita financiar la factura del mes de marzo, para lo cual presenta factura y cedula.",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía Prepago,_,_,_,_,TURBO,Energía,Línea de atención,,Regional,QUE FUE RÁPIDA LA ATENCIÓN Y ME SOLUCIONARON EL PROBLEMA QUE TENÍA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,BELLO,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Energía (incluido prepago),TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"JUAN VALENCIA 
cc 12931083
tel 3124080546
mensaje si
dir del pedido: RURAL_190617200535900007
id 00001068461553874767
Cliente con PED-690766-D8Q0 mal ingresado, incompleto, para punto de conexi?n, solicita se ingrese correctamente y se brinde pronta atenci?n.",_,RIONEGRO,Energía,Línea de atención,,Regional,ME COGIÓ TODA LA INFORMACION Y ME DIO EL RADICO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LA ATENCIÓN DE LA PERSONA EN CUANTO AL REQUERIMIENTO QUE YO ESTABA AVERIGUANDO POR LA VISITA PARA LA INSTALACIÓN DEL CONTADOR DEL AGUA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"Cliente: ADRIANA RAMIREZ
Cedula: 43437040
Telefono: 3023223861
Direccion: CR 53 CL 47 A -5
Autoriza msn: si
Id: 00001084221554315205
Usuaria con solicitud en hidro 2776172 para traslado de medidor, indica que ya realizaron el trabajo, pero dejaron pendiente una parte por pavimentar, las ordenes ya est?n cerradas. Por favor validar",_,BELLO,Acueducto,Línea de atención,,Metropolitana,"PUES CUANDO YO ME COMUNIQUE ELLOS ME DIJERON QUE DE UNO A DIEZ DÍAS ME DABAN LA SOLUCIÓN DEL PROBLEMA Y ELLOS LLEGARON AL OTRO DÍA, ENTONCES CONSIDERO QUE FUERON MUY EFICIENTES Y LA VERDAD NO ME DI NI CUENTA DE CUANDO HABÍA HECHO EL ARREGLO ENTONCES ME AGRADO MUCHO EL SERVICIO, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,BARBOSA,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuaria en calidad de propietaria solicita financiaci?n de cuenta marzo por $449.348.,_,ITAGUI,Acueducto,Oficina de atención,,Metropolitana,EN EL SENTIDO DE QUE ME PUDIERON COLABORAR EN FINANCIAR LOS SERVICIOS SIN PROBLEMAS Y SIN NADA Y ME DEJARON CUOTAS NO,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENIDO EN CUANTO A QUE ME   DIO  SOLUCIÓN RÁPIDA A LO QUE INDIQUE,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,FALLA EN LA CONEXION DEL SERVICIO,"NOMBRE: RAQUEL JHOANA PUERTA ORTIZ
CC: 43168057
CEL: 3023301919
DIRECCI?N: CL 35 A SUR CR 69 -54 (INTERIOR 115 )   
PEDIDO: 2794013
ID: 00001020821554732306
AUTORIZA SMS: SI 
Usuaria indica que el d?a 06/0/2019 se realizaron unas obras accesorias por la instalaci?n de un medidor, pero que despu?s de que el personal se fuer y con la humedad de las lluvias estas se da?aron he incluso se derrumbaron sobre los desag?es de un inmueble aleda?o, solicita garant?a en el menor tiempo posible.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES PORQUE ELLOS ME ATIENDEN BIEN CUANDO SOLICITO LAS LLAMADAS O CUANDO SOLICITO EL SERVICIO, Y LO HICIERON EN EL MENOR TIEMPO POSIBLE PARA NO SEGUIR OCASIONANDO DAÑOS A LA PERSONA A LA CUAL LE ESTÁBAMOS OCASIONANDO COMO EL PROBLEMA, PERO ME GUSTÓ MUCHO TAMBIÉN ES QUE EL PROCESO FUE MUY ÁGIL, EL TRABAJO QUE ELLOS REALIZAN ES GARANTIZADO Y LAS PERSONAS QUE ELLOS ENVÍAN PARA QUE HAGAN EL TRABAJO SON PERSONAS QUE HACEN SU TRABAJO CORRECTAMENTE, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"Nombre: Carlos Alberto Moncada Ortiz
cc: 70064899
tel: 5792253
cel: 3125079877
si mesaje de texto 
dir: RURAL_181072070000000000_RUR EL PE OL
id: 00001043451554133814
Con pedido 20828218 para habilitar servicio, a la fecha sin atender viene de  PQR-5503070-R2N0 le informaron que ser?a tendido en el mes de Marzo, y hasta el momento no le han dado soluci?n, lleva mucho tiempo a la espera del servicio, solicita pronta atenci?n, favor validar.",_,PE?OL,Energía,Línea de atención,,Regional,"QUE ME HAN DILATADO MUCHO LA SOLUCIÓN A ESE PEDIDO, A MI PETICIÓN DE INSTALAR EL SERVICIO HAN SACADO DEMASIADAS EVASIVAS. NO DAN MÁS INFORMACION",INCIDENTES NEGATIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuaria en calidad de arrendataria se presenta a nuestras oficinas inconforme por lo facturado en servicio de agua (23 metros c?bicos) para el mes de marzo de 2019, informa que no han cambiado h?bitos de consumo, habitan el inmueble dos personas y no perm",_,SABANETA,Acueducto,Oficina de atención,,Metropolitana,"ESE DÍA QUE FUI ME ATENDIERON EL RECLAMO Y ME BAJARON DE 210.000 A 185.000 MIL PESOS LA CUENTA, YA QUE NO SABÍA PORQUE ME ESTABAN COBRANDO TODO ESO SI YO VIVÍA SOLA, Y ME DIJERON QUE ME IBA A LLEGAR UN CORREO DÁNDOME RESPUESTA A ESE RECLAMO. LO MALO ES QUE DESPUÉS DE ESO, ESTOS ÚLTIMOS MESES ME SIGUE LLEGANDO ALTO EL RECIBO DEL ACUEDUCTO, PERO CON LA EXPERIENCIA EN LA OFICINA EN MARZO ME FUE BIEN.",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD TRABAJOS,"Se comunica la sra:ROSA ELENA BUITRAGO BEDOYA cc32445210 tel:5082157 -3113118835 dir:DIAG 43 C AVDA 33 B -46 (INTERIOR 201 ) muy inconforme indica que hace un mes le realizaron la instalaci?n del servicio y le dejaron un hueco dentro de la casa sin tapar, favor validar id 00001112821554480469 - Autoriza SMS",_,BELLO,Gas,Línea de atención,,Metropolitana,QUE ATENDIERON LA QUEJA,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,QUE ME BRINDARON LA ATENCIÓN QUE NECESITABA DE MANERA OPORTUNA. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ EN CUANTO A QUE BUSCO LA MANERA DE SOLUCIONAR EL PROBLEMA QUE TENÍAMOS / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"Usuario solicita financiar el valor de $ 509.857,",_,COPACABANA,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LA CHICA QUE ME ATENDIÓ ES MUY BUENA SU ATENCIÓN. SE INDAGA Y NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,BELLO,Energía,Línea de atención,,Metropolitana,QUE ME EXPLICARON CUÁL ERA EL INCONVENIENTE CON MI SOLICITUD. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,_,_
Daños Energía,_,_,_,_,RIONEGRO,Energía,Línea de atención,,Regional,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ YA QUE FUE CLARO EN LO QUE  ME INDICO CON LO QUE ESTABA PREGUNTANDO,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MARINILLA,Energía,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,PORQUE TUVE QUE LLAMAR COMO TRES VECES PARA SOLICITAR EL SERVICIO ENTONCES ESA FUE LA PARTE QUE ME MOLESTO EFECTIVAMENTE EN LA FUGA DE AGUA QUE HABÍA EN LA LLAVE Y EN EL MEDIDOR,INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA ORIENTACIÓN DE LA PERSONA QUE ME ATENDIÓ , QUE MUY AMABLEMENTE ME ESTUVO INDICANDO EL PROCEDIMIENTO QUE ESTABA HACIENDO A PESAR DE QUE YO NO ESTABA ALLÁ, ME EXPLICO. SE INDAGA NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD TRABAJOS,"us: Elcy Maria Montes Palacio cc: 32553179 tel: 3122715280 dir: RURAL_190887100167550000_C16 21-30AP1 de Yarumal, se encuentra inconforme ya que el contrato U.T. CON-GAS realizo la instalaci?n del servicio aproximadamente el d?a 06/03/2019 y el contrato da?o la baldosa, quedaron de visitar al d?a siguiente a realizar el arreglo y hasta el d?a de hoy 29-03-2019 no han visitado, por favor validar y dar soluci?n. ID 00001013321553874423 / JLOPCAR (autoriza mensaje)",_,YARUMAL,Gas,Línea de atención,,Regional,"ME DEJARON MUCHO TIEMPO SIN ORGANIZAR LA ACERA  ,TENGO ENTENDIDO QUE SIEMPRE DAN UN FOGÓN DE GAS CUANDO INSTALAN EL SERVICIO Y ESTA VEZ NO LO HICIERON NO DEJARON BIEN TERMINADA LA INSTALACIÓN ME DEJARON UNA PARTE  SIN PINTAR",INCIDENTES NEGATIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuario solicita financiar servicios contrato 156673,_,ITAGUI,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,COBROS POR PROMEDIO,"Usuaria en calidad de propietaria reclama por el consumo facturado en el mes de marzo de 2019 donde se realiz? cobro de consumo en investigaci?n por alto consumo, informa que al llevar un t?cnico particular a la instalaci?n ?ste le indic? que el da?o se p",_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,"HAY UNA ASESORA NUEVA QUE ES MÁS EXPLÍCITA PARA LAS COSAS, Y ME EXPLICO MEJOR LAS COSAS. SIN EMBARGO, FALTO TODAVÍA QUE ME DEFINIERAN EL RECLAMO COMO TAL, PORQUE NO ME DEFINIERON LA SITUACIÓN.",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,SANTO DOMINGO,Energía,Línea de atención,,Regional,QUE ME PASARON RÁPIDO AL  ASESOR Y EL ASESOR  ME CONTESTO RÁPIDO LO ÚNICO ES QUE ME  COLOCARON  EL SERVICIO AL DÍA SIGUIENTE Y NO EL MISMO DÍA,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Cliente en calidad de usuaria y en calidad de hija del suscriptor (ya fallecido) solicita financiaci?n de la deuda que posee actualmente por valor de  $ 437.480 de la facturaci?n de abril de 2019. Presenta la documentaci?n requerida por matriz de requisitos.,_,ITAGUI,Gas,Oficina de atención,,Metropolitana,"PORQUE FUI MUY BIEN ATENDIDA, ESTUVO MUY BIEN LA BUENA ATENCIÓN Y LA RAPIDEZ CON LA QUE ME ATENDIERON. SE INDAGA Y SE ORIENTA NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,ME GUSTO LA BUENA ATENCIÓN EN CUANTO A QUE NO ME DEJARON ESPERANDO MUCHO EN LA LÍNEA Y TRATARON DE BRINDARME LA INFORMACION DE FORMA CORRECTA ( NO DA MÁS INFORMACION ),INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"LA FALLA DE ENERGÍA  FUE A LAS 5 PM DE LA PORTERÍA DEL EDIFICIO LLAMARON  A EPM A PONER EL REPORTE ENTONCES NOSOTROS CONFIAMOS QUE YA EL PORTERO HABÍA LLAMADO A EPM  QUE EL CASO ESTABA  REPORTADO Y COMO A LAS 3AM TODAVÍA NO VENÍA  LA ENERGÍA ESTÁBAMOS SIN ENERGÍA TODA LA NOCHE , Y A LAS 3AM NO HABÍA LLEGADO  A   MÍ ME DIO POR LLAMAR A LA LÍNEA ME INDICARON QUE NO TENÍAN UN REPORTE DEL DAÑO  EN ESTA ZONA  ENTONCES YO DIGO QUE PASO CON EL REPORTE, ENTONCES YO LLAME AL PORTERO  Y ME INDICO QUE SEGURO  QUE YO LLAME ALLÁ Y PUSE EL REPORTE ENTONCES PORQUE NO APARECÍA  Y  TOCO ABRIR UN  NUEVO REPORTE LA MUCHACHA ME ATENDIÓ MUY BIEN  Y ME INDICO QUE TOCA COLOCAR UN REPORTE NUEVO Y LA ENERGÍA LLEGO  A LAS 5PM  DESPUÉS DE QUE YO LLAME COMO A LAS 3AM LA ENERGÍA LA PUSIERON  A LAS 5PM  PERO ESTUVIMOS TODA LA NOCHE  SIN SERVICIO PORQUE SUPUESTA MENTE NO HABÍAN LLAMADO A HACER EL REPORTE",INCIDENTES NEGATIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"Usuario en calidad de autorizado por la suscriptora solicita financiar deuda de los servicios de energ?a, gas, acueducto y alcantarillado, debido a que actualmente tiene presenta un saldo pendiente de pago por valor de $358,892, correspondiente a dos meses, para lo cual presenta: factura, c?dula, carta de autorizaci?n de la suscriptora y copia de la c?dula de ciudadan?a",_,ITAGUI,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ EN CUANTO A QUE ME BRINDO CLARA LA INFORMACIÓN DE LO QUE ESTABA PASANDO,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD TRABAJOS,"Nombre: Alba lucia villada zapata
Cc: 43003825
Tel: 5874453- 3045348880
Dir: CL 90 CR 69 -29
Autoriza SMS: Si 
Id: 00001128631553962258
Solicitud en hidro 2794383 para cambio de medidor del Servicio Agua Potable Prepago, en estado pendiente Cliente asegura que le instalaron el medidor ?l27 de marzo del 2019  y a?n no
ha podido recargar. Solicita pronta atenci?n, est? muy perjudicada sin el servicio y necesita con urgencia de ?ste. Favor validar.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"BUENO YO ME COMUNIQUE LA PRIMERA VEZ Y ELLOS ME DIJERON QUE IBAN A MANDAR A UNA PERSONA PARA REVISAR, Y YO ESPERE Y ESPERE PARA QUE FUERAN A REVISAR, ENTONCES YO TUVE  QUE VOLVER A LLAMAR PORQUE LA SEÑORITA ME DIJO QUE SI NO IBAN AL OTRO DÍA QUE VOLVIERA A LLAMAR, PERO COMO NO FUERON YO LLAME ME DIJERON QUE YO HABÍA ENTENDIDO MAL QUE YO TENÍA QUE HACER OTRA RECARGA, ENTONCES SE PERDIÓ LA RECARGA ANTERIOR QUE ERA DE 10 MIL PESOS DE ACUEDUCTO ENTONCES FALTA MÁS CLARIDAD EN LA INFORMACIÓN ENTONCES ESO SI ME MOLESTO, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,CHIGORODO,Energía,Línea de atención,,Regional,LO QUE ME AGRADO FUE LA ATENCIÓN QUE ME BRINDARON POR QUE FUERON MUY AMABLES. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Usuario reclama por alto consumo facturado en el mes de marzo de 2019 donde le facturaron 287 kwh m?s recuperaci?n de 204 kwh del mes de febrero de 2019,_,COPACABANA,Energía,Oficina de atención,,Metropolitana,"HUBO MUCHA DEMORA PORQUE LA GENTE QUE IBA (LOS USUARIOS) SE COMPLICABA Y NO ENTENDÍA, POR LO QUE DEMORABAN LAS FILAS. ADEMÁS, HUBO POCO PERSONAL PARA ATENDER TANTA GENTE, ESTABA CONGESTIONADA LA OFICINA.",INCIDENTES NEGATIVOS
Financiaciones,ASESOR EN LINEA,GESTIONAR FINANCIACION,Propietaria solicita financiaci?n de la factura del mes de marzo 2019 con un saldo de $ 1.686.219 servicio p?blicos domiciliarios.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"YO FUI PORQUE RELATIVAMENTE PORQUE VIVIMOS EN  ESTOS MOMENTOS UNA SITUACIÓN ECONÓMICA MUY APRETADA Y RELATIVAMENTE ME LLEGO TODO LO QUE YO HABÍA REFINANCIADO, TODO LO DE LA TARJETA  FUERON CASI CUATRO MILLONES Y PUES YO PENSÉ QUE NO SE PODÍA HACER NADA Y PUES EFECTIVAMENTE SI LO PUDIMOS HACER , SIN EMBARGO, SI QUEDO MAL HECHO Y AQUÍ ESTAMOS ESPERANDO AÚN",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR EN CUANTO A QUE ME  DIO SOLUCIÓN EN EL MENOR TIEMPO POSIBLE E HIZO EL SEGUIMIENTO PARA QUE EL PROBLEMA FUERA SOLUCIONADO,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuaria en calidad de autorizada solicita financiar servicios de gas valor $ 1.909.314,_,ITAGUI,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuario reclama por el incremento en la factura de servicios del mes de enero de 2019, manifiesta que habitan las mismas personas. Muestra intensi?n de pago.",_,SAN ANDRES DE CUERQUIA,Energía,Oficina de atención,,Regional,"LA ATENCIÓN DE LA ASESORA FUE BUENA PORQUE CUANDO FUI, ME SOLUCIONO LA INQUIETUD QUE TENÍA EN ESE MOMENTO. SE INDAGA NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,LA ATENCIÓN MUY BUENA POR LA RAPIDEZ AL PRESTAR EL SERVICIO Y LAS PERSONAS FUERON MUY AMABLES Y CORDIALES ADEMÁS LO LIGERO QUE HICIERON EL TRABAJO. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,PORQUE CUANDO SE COMUNICÓ ME DIJERON QUE EL DAÑO ME LO ARREGLABAN EN DOS DÍAS ENTONCES DESDE AHÍ FUE UNA MALA CONTESTACIÓN PORQUE YO NO PODÍA DEJAR DOS DÍAS EL TUBO BOTÁNDOME AGUA ENTONCES YO LES DIJE QUE YO NO PODÍA Y ME DIJERON QUE ME PASARON A OTRA PERSONA YA ME DIJERON QUE EN EL TRANSCURSO DEL DÍA VENÍAN Y YO DIJE BUENO A ESPERAR Y SIEMPRE ME TOCO SEIS A SIETE HORAS,INCIDENTES NEGATIVOS
Financiaciones,ASESOR EN LINEA,GESTIONAR FINANCIACION,Usuario solicita financiar servicios contrato N 7409613,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita radicar 20190120069808.,_,BARBOSA,Energía,Oficina de atención,,Metropolitana,"LA ATENCIÓN FUE MUY BUENA, SE INSISTE Y NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"Nombre: Lina Mar?a Bustamante Pineda
Cc: 43617768
Dir: CR 116 CL 39 F -13
Tel: 2535116 - 3122863699
Autoriza env?o SMS: S?
Id: 00001046051554249629
Usuaria con requerimiento 778655 radicado desde hace 15 d?as para el d?a 02/04/2019 en las horas de la tarde de 1 a 6 PM inconforme porque el personal en ning?n momento se present? ni realizo alg?n llamado con el fin de notificar que la cita no podr? ser atendida para ese d?a ni que exista una reprogramaci?n. Primero en la empresa NO le dar?n m?s permiso y dos espera que no se realice la suspensi?n de servicio por falta de la cita ya que el error no es de ella si no del personal de la empresa, adicional solicita se contacte con ella para mirar cuando se puede reagendar seg?n disponibilidad del usuario.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,ME PASABAN DE UN ASESOR A OTRO Y TENÍA  QUE EXPLICAR LO MISMO A CADA ASESOR,INCIDENTES NEGATIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,_,_
Daños Gas,_,_,_,_,BELLO,Gas,Línea de atención,,Metropolitana,"LA RAPIDEZ, FUEROS MUY RÁPIDOS PORQUE LLAME Y AL MOMENTICO FUERON ADEMÁS LA ATENCIÓN DEL MUCHACHO PORQUE FUE MUY DILIGENTE. SE INDAGA NO DA MÁS INFORMACION.",INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,ENVIGADO,Energía,Línea de atención,,Metropolitana,QUE LLAME Y Q FUE   ÁGIL PARA QUE ME  DIRECCIONARAN LA LLAMADA,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,CAMBIO DE DATOS BASICOS,cliente  solicita   el estado cuenta,_,ENVIGADO,Energía,Oficina de atención,,Metropolitana,LA ATENCIÓN ES TUVO MUY BIEN FUERON AMABLES Y ME DIERON SOLUCIÓN AL PROBLEMA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,DEMORA EN REPARAR DA?O,"Nombre: Isabel Cristina Mazo Mejia
Cc: 1017162536
Tel: 3147562306 - 6046007 
Dir:CL 82 A SUR CR 56 -4
Autoriza SMS: SI
Id: 00001077991554212046
Cliente informa la inconformidad por solicitud#  2744366  para Revisar Calidad Del Trabajo creado en hidro desde el d?a 03/03/2019 07:51:00 y atendido el d?a  05/03/2019 EPM\JURIBEM  en estado cerrado y reparado.
Pero asegura que no se ha pavimentado el nicho y no se han retirado los escombros,  , ANS vencido, validar procedimiento.",_,LA ESTRELLA,Acueducto,Línea de atención,,Metropolitana,"LO QUE ME MOLESTO ES QUE ME TOCO COMUNICARME EXACTAMENTE CUATRO VECES PARA QUE ELLO ME SOLUCIONASE EL INCONVENIENTE, ENTONCES SIEMPRE FUE UN POCO MOLESTO ESTAR LLAMANDO ENTONCES ES BÁSICAMENTE POR ELLO, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"En calidad de propietario, solicita financiar contrato 2820564. presenta CC, predial y factura original.",_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LO BUENO ES PORQUE QUEDE AL DÍA CON TODAS LAS FINANCIACIONES QUE TENGO ALLÁ CON EPM. SE INDAGA Y NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),_,_,_,_,_,Acueducto,Oficina de atención,,Metropolitana,LE PREGUNTE A LA PERSONA DE SEGURIDAD SOBRE EL PROCESO QUE NECESITABA QUE ERA EL DUPLICADO DE LA FACTURA ESPERE 2 HORAS Y LUEGO ME DIJERON QUE ESO NO SE HACÍA AHI QUE TENÍA QUE IR A OTRA OFICINA Y LE DIJE A LA PERSONA QUE ME ATENDIÓ ESO ME LO PUDIERON DECIR EN LA ENTRADA DEBERÍAN DE TENER UNA PERSONA EN LA ENTRADA QUE LE INDIQUE A UNO ESO Y NO ESPERAR TODO ESE TIEMPO,INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,ENVIGADO,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuaria solicita informaci?n acerca de la financiaci?n que registra en la instalaci?n,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,ITAGUI,Gas,Línea de atención,,Metropolitana,QUE ME CAMBIARON EL REGULADOR ADEMÁS EXCELENTE SERVICIO EN LA LLAMADA PORQUE ME EXPLICARON BIEN LAS COSAS. SE INDAGA NO DA MÁS INFORMACION.,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuaria solicita informaci?n acerca de la energ?a prepago,_,CHIGORODO,Energía,Oficina de atención,,Regional,"EL AMBIENTE ES LIMPIO LAS OFICINAS MUY ORGANIZADAS, SE INSISTE Y NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"EDISON RENDON 
CC 71694861
CR 51 CL 117 B SUR -3
CEL: 3128310735 Autoriza sms
Usuario con Req: 777281, informa que personal se comunico con el para indicar que no se pod?an presentar el dia Jueves ya que el funcionario se hab?a accidentado y se le reprogramaba la visita RP para el d?a Domingo y hasta el momento nadie ha ido. Favor validar. Id. 00001141171554408734",_,CALDAS,Gas,Línea de atención,,Metropolitana,"PROGRAMARON LA CITA DE REVISIÓN Y ME INCUMPLIERON DOS VECES LA PRIMERA VEZ ME  AVISARON, PERO LA SEGUNDA NO AVISARON PERDÍ DOS DÍAS DE TRABAJO NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
